"COUNTRY","Country ","SEX","Sex","FIELD","Field","ISC11_LEVEL_CAT","Level of education","INDICATOR","Indicator","YEAR","Year ","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","F","Women","T","Total: All fields of education","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,40.585,,
"SWE","Sweden","M","Men","T","Total: All fields of education","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,59.415,,
"SWE","Sweden","F","Women","T","Total: All fields of education","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,56.243,,
"SWE","Sweden","M","Men","T","Total: All fields of education","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,43.757,,
"SWE","Sweden","F","Women","T","Total: All fields of education","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,53.669,,
"SWE","Sweden","M","Men","T","Total: All fields of education","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,46.331,,
"SWE","Sweden","F","Women","T","Total: All fields of education","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,68.344,,
"SWE","Sweden","M","Men","T","Total: All fields of education","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,31.656,,
"SWE","Sweden","F","Women","T","Total: All fields of education","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,59.443,,
"SWE","Sweden","M","Men","T","Total: All fields of education","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,40.557,,
"SWE","Sweden","F","Women","T","Total: All fields of education","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,45.204,,
"SWE","Sweden","M","Men","T","Total: All fields of education","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,54.796,,
"SWE","Sweden","F","Women","T","Total: All fields of education","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,62.234,,
"SWE","Sweden","M","Men","T","Total: All fields of education","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,37.766,,
"SWE","Sweden","F","Women","F01","Education","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,60.085,,
"SWE","Sweden","M","Men","F01","Education","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,39.915,,
"SWE","Sweden","F","Women","F01","Education","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,65.625,,
"SWE","Sweden","M","Men","F01","Education","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,34.375,,
"SWE","Sweden","F","Women","F01","Education","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,83.905,,
"SWE","Sweden","M","Men","F01","Education","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,16.095,,
"SWE","Sweden","F","Women","F01","Education","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,75.46,,
"SWE","Sweden","M","Men","F01","Education","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,24.54,,
"SWE","Sweden","F","Women","F01","Education","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,65.979,,
"SWE","Sweden","M","Men","F01","Education","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,34.021,,
"SWE","Sweden","F","Women","F01","Education","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,79.708,,
"SWE","Sweden","M","Men","F01","Education","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,20.292,,
"SWE","Sweden","F","Women","F02","Arts and humanities","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,82.042,,
"SWE","Sweden","M","Men","F02","Arts and humanities","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,17.958,,
"SWE","Sweden","F","Women","F02","Arts and humanities","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,57.179,,
"SWE","Sweden","M","Men","F02","Arts and humanities","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,42.821,,
"SWE","Sweden","F","Women","F02","Arts and humanities","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,59.325,,
"SWE","Sweden","M","Men","F02","Arts and humanities","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,40.675,,
"SWE","Sweden","F","Women","F02","Arts and humanities","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,62.903,,
"SWE","Sweden","M","Men","F02","Arts and humanities","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,37.097,,
"SWE","Sweden","F","Women","F02","Arts and humanities","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,66.264,,
"SWE","Sweden","M","Men","F02","Arts and humanities","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,33.736,,
"SWE","Sweden","F","Women","F02","Arts and humanities","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,51.63,,
"SWE","Sweden","M","Men","F02","Arts and humanities","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,48.37,,
"SWE","Sweden","F","Women","F02","Arts and humanities","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,62.795,,
"SWE","Sweden","M","Men","F02","Arts and humanities","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,37.205,,
"SWE","Sweden","F","Women","F03","Social sciences, journalism and information","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,62.044,,
"SWE","Sweden","M","Men","F03","Social sciences, journalism and information","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,37.956,,
"SWE","Sweden","F","Women","F03","Social sciences, journalism and information","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,73.134,,
"SWE","Sweden","M","Men","F03","Social sciences, journalism and information","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,26.866,,
"SWE","Sweden","F","Women","F03","Social sciences, journalism and information","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,67.812,,
"SWE","Sweden","M","Men","F03","Social sciences, journalism and information","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,32.188,,
"SWE","Sweden","F","Women","F03","Social sciences, journalism and information","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,64.521,,
"SWE","Sweden","M","Men","F03","Social sciences, journalism and information","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,35.479,,
"SWE","Sweden","F","Women","F03","Social sciences, journalism and information","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,52.542,,
"SWE","Sweden","M","Men","F03","Social sciences, journalism and information","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,47.458,,
"SWE","Sweden","F","Women","F03","Social sciences, journalism and information","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,66.399,,
"SWE","Sweden","M","Men","F03","Social sciences, journalism and information","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,33.601,,
"SWE","Sweden","F","Women","F04","Business, administration and law","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,57.641,,
"SWE","Sweden","M","Men","F04","Business, administration and law","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,42.359,,
"SWE","Sweden","F","Women","F04","Business, administration and law","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,74.847,,
"SWE","Sweden","M","Men","F04","Business, administration and law","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,25.153,,
"SWE","Sweden","F","Women","F04","Business, administration and law","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,79.125,,
"SWE","Sweden","M","Men","F04","Business, administration and law","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,20.875,,
"SWE","Sweden","F","Women","F04","Business, administration and law","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,62.616,,
"SWE","Sweden","M","Men","F04","Business, administration and law","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,37.384,,
"SWE","Sweden","F","Women","F04","Business, administration and law","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,57.996,,
"SWE","Sweden","M","Men","F04","Business, administration and law","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,42.004,,
"SWE","Sweden","F","Women","F04","Business, administration and law","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,54.545,,
"SWE","Sweden","M","Men","F04","Business, administration and law","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,45.455,,
"SWE","Sweden","F","Women","F04","Business, administration and law","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,64.357,,
"SWE","Sweden","M","Men","F04","Business, administration and law","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,35.643,,
"SWE","Sweden","F","Women","F05","Natural sciences, mathematics and statistics","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,60.87,,
"SWE","Sweden","M","Men","F05","Natural sciences, mathematics and statistics","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_SHARE_GENDER-FIELDS","Share of graduates by gender in fields of education","2017","2017","PC","Percentage","0","Units",,,39.13,,
